week,P1,P2,P3,P4,P5,P6,P7,P8
0,0.0034,0.0049,0.0042,0.0044,0.0048,0.0042,0.0036,0.0032
1,0.0039,0.0034,0.0038,0.0048,0.0036,0.0032,0.0037,0.0048
2,0.0035,0.0043,0.003,0.0037,0.0036,0.0033,0.0041,0.004
3,0.0044,0.0035,0.0035,0.0033,0.0034,0.0041,0.0038,0.0031
4,0.0035,0.0035,0.0044,0.0044,0.0033,0.005,0.0035,0.005
5,0.0038,0.0031,0.0037,0.0043,0.0044,0.0041,0.0039,0.0041
6,0.0042,0.0032,0.0037,0.0035,0.0046,0.0039,0.005,0.0038
7,0.0046,0.0046,0.0033,0.004,0.0044,0.0047,0.0037,0.0034
8,0.0044,0.0046,0.0037,0.0032,0.0049,0.0038,0.004,0.0047
9,0.0044,0.0045,0.0034,0.0041,0.0044,0.0035,0.0033,0.005
10,0.004,0.0035,0.005,0.0049,0.0041,0.0048,0.0034,0.0036
11,0.0044,0.0047,0.0047,0.0038,0.0048,0.0047,0.0049,0.0046
12,0.0043,0.0042,0.0037,0.0049,0.0049,0.0036,0.0036,0.004
